ID,Latitude,Longitude,variable,,,,
USC00010008,31.5703,-85.2483,PRCP,1948,2014,,
USC00465224,37.8567,-80.4042,WT01,1851,2020,,
USC00465224,37.8567,-80.4042,WT03,1851,2019,,
USC00465224,37.8567,-80.4042,WT11,1851,2012,,
USC00010063,34.2553,-87.1814,PRCP,1938,2020,,
USC00465224,37.8567,-80.4042,WT04,1852,2019,,
USC00010140,32.2322,-87.4103,PRCP,1940,2015,,
USC00010160,32.9453,-85.9481,PRCP,1969,2020,,
USC00144559,38.9583,-95.2514,SNOW,1857,2020,,
USC00465224,37.8567,-80.4042,SNOW,1857,2020,,
USC00465224,37.8567,-80.4042,SNWD,1857,2020,,
USC00010178,33.1272,-88.155,PRCP,1934,2020,,
USW00014838,46.5458,-87.3794,SNOW,1857,2020,,
USW00014838,46.5458,-87.3794,TMAX,1860,2020,,
USW00014838,46.5458,-87.3794,TMIN,1860,2020,,
USC00010184,33.21,-88.2878,PRCP,1980,2020,,
USC00010252,31.3072,-86.5225,PRCP,1912,2018,,
USC00144559,38.9583,-95.2514,TMAX,1868,2020,,
USC00144559,38.9583,-95.2514,TMIN,1868,2020,,
USW00094728,40.7789,-73.9692,TMAX,1869,2020,,
USW00094728,40.7789,-73.9692,TMIN,1869,2020,,
USC00010369,33.2942,-85.7789,PRCP,1940,2013,,
USW00094728,40.7789,-73.9692,SNOW,1869,2020,,
USC00043157,41.8714,-120.1575,TMAX,1870,2020,,
USC00043157,41.8714,-120.1575,TMIN,1870,2020,,
USC00010390,34.7753,-86.9508,PRCP,1941,2020,,
USC00010402,31.1819,-87.4389,PRCP,1940,2020,,
USC00035820,36.2642,-90.9683,TMAX,1871,2020,,
USC00035820,36.2642,-90.9683,TMIN,1871,2020,,
USC00010505,33.4528,-87.3572,PRCP,1957,2020,,
USC00035820,36.2642,-90.9683,SNOW,1871,2020,,
USC00035820,36.2642,-90.9683,SNWD,1871,2020,,
USC00010583,30.8839,-87.7853,PRCP,1913,2020,,
USC00010655,34.6892,-86.8819,PRCP,1950,2020,,
USC00313017,35.0583,-78.8583,SNWD,1871,2018,,
USC00117391,41.5181,-90.5647,TMAX,1872,2020,,
USC00117391,41.5181,-90.5647,TMIN,1872,2020,,
